Meter S/N:, "serial number"
Sensor, THERMO,QUAD, 1A365
Date, 10/7/2014 6:36:05 PM
Units, W
Timestamp, Measurement, X, Y, Sequence, Flags, Flags (interpreted), Period, Binary Data
0, 0.000384824757929891, 0, 0, 0, 0, 0, 0, 4ec2c939 00000000 00000000 0000 00000000 
0.1, -0.00062180554959923, 0, 0, 100000, 32, NegativePower, 0, aa0023ba 00000000 00000000 2000 a0860100 
0.2, -0.000844681344460696, 0, 0, 200000, 32, NegativePower, 0, 9b6d5dba 00000000 00000000 2000 400d0300 
0.3, -0.000523738097399473, 0, 0, 300000, 32, NegativePower, 0, 784b09ba 00000000 00000000 2000 e0930400 
0.4, -0.00131153489928693, 0, 0, 400000, 32, NegativePower, 0, cfe7abba 00000000 00000000 2000 801a0600 
0.5, -0.000740390620194376, 0, 0, 500000, 32, NegativePower, 0, c61642ba 00000000 00000000 2000 20a10700 
0.6, 6.24680105829611E-05, 0, 0, 600000, 0, 0, 0, 42018338 00000000 00000000 0000 c0270900 
0.7, -0.00065493572037667, 0, 0, 700000, 32, NegativePower, 0, feaf2bba 00000000 00000000 2000 60ae0a00 
0.8, -0.00105182616971433, 0, 0, 800000, 32, NegativePower, 0, 6edd89ba 00000000 00000000 2000 00350c00 
0.9, -0.000700631295330822, 0, 0, 900000, 32, NegativePower, 0, 92aa37ba 00000000 00000000 2000 a0bb0d00 
1, -0.000615822616964579, 0, 0, 1000000, 32, NegativePower, 0, 286f21ba 00000000 00000000 2000 40420f00 
1.1, -0.000469291378976777, 0, 0, 1100000, 32, NegativePower, 0, 390bf6b9 00000000 00000000 2000 e0c81000 
1.2, -0.00100240134634078, 0, 0, 1200000, 32, NegativePower, 0, 026383ba 00000000 00000000 2000 804f1200 
1.3, -0.000393847440136597, 0, 0, 1300000, 32, NegativePower, 0, 4f7dceb9 00000000 00000000 2000 20d61300 
1.4, -0.000506138079799712, 0, 0, 1400000, 32, NegativePower, 0, 5aae04ba 00000000 00000000 2000 c05c1500 
1.5, -0.000147869912325405, 0, 0, 1500000, 32, NegativePower, 0, 870d1bb9 00000000 00000000 2000 60e31600 
1.6, 5.51188677491155E-05, 0, 0, 1600000, 0, 0, 0, 6f2f6738 00000000 00000000 0000 006a1800 
1.7, 0.000188510544830933, 0, 0, 1700000, 0, 0, 0, eaaa4539 00000000 00000000 0000 a0f01900 
1.8, -0.000801657675765455, 0, 0, 1800000, 32, NegativePower, 0, 562652ba 00000000 00000000 2000 40771b00 
1.9, -0.000374234426999465, 0, 0, 1900000, 32, NegativePower, 0, e534c4b9 00000000 00000000 2000 e0fd1c00 
2, -0.000389756460208446, 0, 0, 2000000, 32, NegativePower, 0, 3a58ccb9 00000000 00000000 2000 80841e00 
2.1, -0.000328470981912687, 0, 0, 2100000, 32, NegativePower, 0, a136acb9 00000000 00000000 2000 200b2000 
2.2, -0.000155273373820819, 0, 0, 2200000, 32, NegativePower, 0, e1d022b9 00000000 00000000 2000 c0912100 
2.3, -0.000471551378723234, 0, 0, 2300000, 32, NegativePower, 0, 8e3af7b9 00000000 00000000 2000 60182300 
2.4, -0.000169407125213183, 0, 0, 2400000, 32, NegativePower, 0, e1a231b9 00000000 00000000 2000 009f2400 
2.5, -0.000361852202331647, 0, 0, 2500000, 32, NegativePower, 0, fbb6bdb9 00000000 00000000 2000 a0252600 
2.6, -0.000648006971459836, 0, 0, 2600000, 32, NegativePower, 0, 03df29ba 00000000 00000000 2000 40ac2700 
2.7, -0.000423107616370544, 0, 0, 2700000, 32, NegativePower, 0, 8bd4ddb9 00000000 00000000 2000 e0322900 
2.8, -0.000109094289655332, 0, 0, 2800000, 32, NegativePower, 0, 8dc9e4b8 00000000 00000000 2000 80b92a00 
2.9, -0.000784753530751914, 0, 0, 2900000, 32, NegativePower, 0, ebb74dba 00000000 00000000 2000 20402c00 
3, -0.000487543933559209, 0, 0, 3000000, 32, NegativePower, 0, 0a9dffb9 00000000 00000000 2000 c0c62d00 
3.1, -0.000686162384226918, 0, 0, 3100000, 32, NegativePower, 0, 94df33ba 00000000 00000000 2000 604d2f00 
3.2, -0.000633728981483728, 0, 0, 3200000, 32, NegativePower, 0, d52026ba 00000000 00000000 2000 00d43000 
3.3, -8.35603859741241E-05, 0, 0, 3300000, 32, NegativePower, 0, 243dafb8 00000000 00000000 2000 a05a3200 
3.4, -0.000790865393355489, 0, 0, 3400000, 32, NegativePower, 0, 14524fba 00000000 00000000 2000 40e13300 
