Meter S/N:, "REV_DA_16"
Sensor, Thermo, Single, 0781D14R, PM-Pro 150F HD
Date, 12/21/2014 2:09:50 PM
Units, W
Timestamp, Measurement, Sequence, Flags, Flags (interpreted), Period
0, 7.96209335327148, 0, 1, TriggerDetected, 0
1.6E-06, 7.96091794967651, 1, 0, 0, 0
3.2E-06, 7.99430227279663, 2, 0, 0, 0
4.8E-06, 7.92706346511841, 3, 0, 0, 0
6.4E-06, 7.94704723358154, 4, 0, 0, 0
8E-06, 7.99101066589355, 5, 0, 0, 0
9.6E-06, 8.6920804977417, 6, 0, 0, 0
1.12E-05, 8.74403762817383, 7, 0, 0, 0
1.28E-05, 8.7111234664917, 8, 0, 0, 0
1.44E-05, 8.67797470092773, 9, 0, 0, 0
1.6E-05, 8.70736217498779, 10, 0, 0, 0
1.76E-05, 8.70501136779785, 11, 0, 0, 0
1.92E-05, 9.19425487518311, 12, 0, 0, 0
2.08E-05, 9.58099555969238, 13, 0, 0, 0
2.24E-05, 9.52386569976807, 14, 0, 0, 0
2.4E-05, 9.46814727783203, 15, 0, 0, 0
2.56E-05, 9.51822376251221, 16, 0, 0, 0
2.72E-05, 9.51728248596191, 17, 0, 0, 0
2.88E-05, 9.95480537414551, 18, 0, 0, 0
3.04E-05, 10.4630918502808, 19, 0, 0, 0
3.2E-05, 10.4191293716431, 20, 0, 0, 0
3.36E-05, 10.389741897583, 21, 0, 0, 0
3.52E-05, 10.3735198974609, 22, 0, 0, 0
3.68E-05, 10.4066686630249, 23, 0, 0, 0
3.84E-05, 10.5940437316895, 24, 0, 0, 0
4E-05, 11.3783388137817, 25, 0, 0, 0
4.16E-05, 11.381160736084, 26, 0, 0, 0
4.32E-05, 11.3393125534058, 27, 0, 0, 0
4.48E-05, 11.3284969329834, 28, 0, 0, 0
4.64E-05, 11.3741073608398, 29, 0, 0, 0
4.8E-05, 11.4300603866577, 30, 0, 0, 0
4.96E-05, 12.3594131469727, 31, 0, 0, 0
5.12E-05, 12.4184236526489, 32, 0, 0, 0
5.28E-05, 12.3848037719727, 33, 0, 0, 0
5.44E-05, 12.3309659957886, 34, 0, 0, 0
5.6E-05, 12.3909168243408, 35, 0, 0, 0
5.76E-05, 12.3831586837769, 36, 0, 0, 0
5.92E-05, 13.0456714630127, 37, 0, 0, 0
6.08E-05, 13.5469055175781, 38, 0, 0, 0
6.24E-05, 13.4991798400879, 39, 0, 0, 0
6.4E-05, 13.5191631317139, 40, 0, 0, 0
6.56E-05, 13.5266876220703, 41, 0, 0, 0
6.72E-05, 13.50670337677, 42, 0, 0, 0
6.88E-05, 14.0946893692017, 43, 0, 0, 0
7.04E-05, 14.7708387374878, 44, 0, 0, 0
7.2E-05, 14.738865852356, 45, 0, 0, 0
7.36E-05, 14.7014846801758, 46, 0, 0, 0
7.52E-05, 14.6941967010498, 47, 0, 0, 0
7.68E-05, 14.7301664352417, 48, 0, 0, 0
7.84E-05, 14.8707571029663, 49, 0, 0, 0
8E-05, 16.0488452911377, 50, 0, 0, 0
8.16E-05, 16.10009765625, 51, 0, 0, 0
8.32E-05, 16.0467300415039, 52, 0, 0, 0
8.48E-05, 16.0156955718994, 53, 0, 0, 0
8.64E-05, 16.0500202178955, 54, 0, 0, 0
8.8E-05, 16.08740234375, 55, 0, 0, 0
8.96E-05, 17.4580383300781, 56, 0, 0, 0
9.12E-05, 17.5734729766846, 57, 0, 0, 0
9.28E-05, 17.5118751525879, 58, 0, 0, 0
9.44E-05, 17.463680267334, 59, 0, 0, 0
9.6E-05, 17.4813117980957, 60, 0, 0, 0
9.76E-05, 17.4918918609619, 61, 0, 0, 0
9.92E-05, 18.3965587615967, 62, 0, 0, 0
0.0001008, 19.1373596191406, 63, 0, 0, 0
0.0001024, 19.1180820465088, 64, 0, 0, 0
0.000104, 19.0414390563965, 65, 0, 0, 0
0.0001056, 19.0515480041504, 66, 0, 0, 0
0.0001072, 19.0795249938965, 67, 0, 0, 0
0.0001088, 19.9169540405273, 68, 0, 0, 0
0.0001104, 20.77366065979, 69, 0, 0, 0
0.000112, 20.7433319091797, 70, 0, 0, 0
0.0001136, 20.6859683990479, 71, 0, 0, 0
0.0001152, 20.7226448059082, 72, 0, 0, 0
0.0001168, 20.7703685760498, 73, 0, 0, 0
0.0001184, 20.9558620452881, 74, 0, 0, 0
0.00012, 22.5472583770752, 75, 0, 0, 0
0.0001216, 22.6224899291992, 76, 0, 0, 0
0.0001232, 22.5604248046875, 77, 0, 0, 0
0.0001248, 22.5282154083252, 78, 0, 0, 0
0.0001264, 22.5829944610596, 79, 0, 0, 0
0.000128, 22.6302471160889, 80, 0, 0, 0
0.0001296, 24.3359031677246, 81, 0, 0, 0
0.0001312, 24.5590133666992, 82, 0, 0, 0
0.0001328, 24.522102355957, 83, 0, 0, 0
0.0001344, 24.4861316680908, 84, 0, 0, 0
0.000136, 24.5279808044434, 85, 0, 0, 0
0.0001376, 24.5129318237305, 86, 0, 0, 0
0.0001392, 25.7300491333008, 87, 0, 0, 0
0.0001408, 26.5336227416992, 88, 0, 0, 0
0.0001424, 26.553840637207, 89, 0, 0, 0
0.000144, 26.492244720459, 90, 0, 0, 0
0.0001456, 26.4924793243408, 91, 0, 0, 0
0.0001472, 26.5000019073486, 92, 0, 0, 0
0.0001488, 27.4317073822021, 93, 0, 0, 0
0.0001504, 28.6810302734375, 94, 0, 0, 0
0.000152, 28.6572856903076, 95, 0, 0, 0
0.0001536, 28.6166133880615, 96, 0, 0, 0
0.0001552, 28.6152019500732, 97, 0, 0, 0
0.0001568, 28.6556396484375, 98, 0, 0, 0
0.0001584, 28.8766326904297, 99, 0, 0, 0
0.00016, 30.7045383453369, 100, 0, 0, 0
0.0001616, 30.8310241699219, 101, 0, 0, 0
0.0001632, 30.7548522949219, 102, 0, 0, 0
0.0001648, 30.7205257415771, 103, 0, 0, 0
0.0001664, 30.7654304504395, 104, 0, 0, 0
0.000168, 30.8890933990479, 105, 0, 0, 0
0.0001696, 32.8796882629395, 106, 0, 0, 0
0.0001712, 33.0736465454102, 107, 0, 0, 0
0.0001728, 33.0009994506836, 108, 0, 0, 0
0.0001744, 32.9389343261719, 109, 0, 0, 0
0.000176, 32.9880714416504, 110, 0, 0, 0
0.0001776, 32.9925384521484, 111, 0, 0, 0
0.0001792, 34.1384162902832, 112, 0, 0, 0
0.0001808, 35.2720756530762, 113, 0, 0, 0
0.0001824, 35.228343963623, 114, 0, 0, 0
0.000184, 35.1895523071289, 115, 0, 0, 0
0.0001856, 35.2304573059082, 116, 0, 0, 0
0.0001872, 35.2403335571289, 117, 0, 0, 0
0.0001888, 35.907787322998, 118, 0, 0, 0
0.0001904, 37.6428260803223, 119, 0, 0, 0
0.000192, 37.6494064331055, 120, 0, 0, 0
0.0001936, 37.5452575683594, 121, 0, 0, 0
0.0001952, 37.6566963195801, 122, 0, 0, 0
0.0001968, 37.6343612670898, 123, 0, 0, 0
0.0001984, 38.1306571960449, 124, 0, 0, 0
0.0002, 40.0403823852539, 125, 0, 0, 0
0.0002016, 40.0692977905273, 126, 0, 0, 0
0.0002032, 40.0086402893066, 127, 0, 0, 0
0.0002048, 39.9719657897949, 128, 0, 0, 0
0.0002064, 40.0178108215332, 129, 0, 0, 0
0.000208, 40.0587158203125, 130, 0, 0, 0
0.0002096, 42.1760330200195, 131, 0, 0, 0
0.0002112, 42.559009552002, 132, 0, 0, 0
0.0002128, 42.5242195129395, 133, 0, 0, 0
0.0002144, 42.4456939697266, 134, 0, 0, 0
0.000216, 42.4887199401855, 135, 0, 0, 0
0.0002176, 42.4920082092285, 136, 0, 0, 0
0.0002192, 43.9230651855469, 137, 0, 0, 0
0.0002208, 45.2343101501465, 138, 0, 0, 0
0.0002224, 45.0294494628906, 139, 0, 0, 0
0.000224, 44.9528045654297, 140, 0, 0, 0
0.0002256, 44.9730224609375, 141, 0, 0, 0
0.0002272, 44.9683227539063, 142, 0, 0, 0
0.0002288, 46.2463302612305, 143, 0, 0, 0
0.0002304, 47.630126953125, 144, 0, 0, 0
0.000232, 47.5993309020996, 145, 0, 0, 0
0.0002336, 47.527156829834, 146, 0, 0, 0
0.0002352, 47.5182189941406, 147, 0, 0, 0
0.0002368, 47.5680618286133, 148, 0, 0, 0
0.0002384, 47.9014358520508, 149, 0, 0, 0
0.00024, 50.1186676025391, 150, 0, 0, 0
0.0002416, 50.2613754272461, 151, 0, 0, 0
0.0002432, 50.2002487182617, 152, 0, 0, 0
0.0002448, 50.136302947998, 153, 0, 0, 0
0.0002464, 50.2491493225098, 154, 0, 0, 0
